,rank,score,name
0,1.0,1.3249951861833082,¡MAYDAY!
0,2.0,1.3165089866486708,Berner
0,3.0,1.3161265988041817,Bas
0,4.0,1.2646836388061757,Bernz
0,5.0,1.235322302677758,Apollo Brown
0,6.0,1.226396549953951,Apathy
0,7.0,1.2165044456798833,Action Bronson
0,8.0,1.2150774890389608,AD
0,9.0,1.2006317462370997,Aha Gazelle
0,10.0,1.1997060984492773,Big Scoob
0,11.0,1.1973710921209693,Big K.R.I.T
0,12.0,1.194012873270422,6LACK
0,13.0,1.1883716905196589,A$AP Ferg
0,14.0,1.1815135415102405,Big Noyd
0,15.0,1.1786380939082808,Alexio
0,16.0,1.1709715562222034,Amine
0,17.0,1.1681916606377007,Big Sean
0,18.0,1.163800067768579,A$AP Mob
0,19.0,1.1618322917226733,Abk
0,20.0,1.1591445214528169,B.o.B
0,21.0,1.1572488591256258,Big Boi
0,22.0,1.156129777189333,2 Chainz
0,23.0,1.1498352227448077,Atmosphere
0,24.0,1.1489579387943578,Big Lenbo
0,25.0,1.1372612346380548,BIA
0,26.0,1.1246101878525676,August Alsina
0,27.0,1.117235533314809,A$AP Rocky
0,28.0,1.1035084345627897,Arcangel
0,29.0,1.0936631246377426,2Pac
0,30.0,1.088864933767115,Anthony Ramos
0,31.0,1.0877918331817062,1st FKI
0,32.0,1.0797481257193449,Big Smo
0,33.0,1.0785820710706893,A Boogie Wit da Hoodie
0,34.0,1.0705073004343721,Anderson .Paak
0,35.0,1.0676079950362642,Betty Wright
0,36.0,1.0381045637112947,Adrian Marcel
0,37.0,1.0328243603969276,Aloe Blacc
0,38.0,0.9863050257257936,21 Savage
0,39.0,0.9731436130556588,Ben Folds
0,40.0,0.9313835834472317,Ariana Grande
0,41.0,0.8920673171643984,A Tribe Called Quest
0,42.0,0.8664732157302086,Anna Wise
0,43.0,0.5199004975124378,Adam Vida
